id,sentiment
0,NEGATIVE
1,NEGATIVE
2,NEGATIVE
3,NEGATIVE
4,NEGATIVE
5,NEGATIVE
6,NEGATIVE
7,NEGATIVE
8,NEGATIVE
9,NEGATIVE
10,NEGATIVE
11,NEGATIVE
12,NEGATIVE
13,NEGATIVE
14,NEGATIVE
15,NEGATIVE
16,NEGATIVE
17,NEGATIVE
18,NEGATIVE
19,NEGATIVE
20,NEGATIVE
21,NEGATIVE
22,NEGATIVE
23,NEGATIVE
24,NEGATIVE
25,NEGATIVE
26,NEGATIVE
27,NEGATIVE
28,NEGATIVE
29,NEGATIVE
30,NEGATIVE
31,NEGATIVE
32,NEGATIVE
33,NEGATIVE
34,NEGATIVE
35,NEGATIVE
36,NEGATIVE
37,NEGATIVE
38,NEGATIVE
39,NEGATIVE
40,NEGATIVE
41,NEGATIVE
42,NEGATIVE
43,NEGATIVE
44,NEGATIVE
45,NEGATIVE
46,NEGATIVE
47,NEGATIVE
48,NEGATIVE
49,NEGATIVE
50,NEGATIVE
51,NEGATIVE
52,NEGATIVE
53,NEGATIVE
54,NEGATIVE
55,NEGATIVE
56,NEGATIVE
57,NEGATIVE
58,NEGATIVE
59,NEGATIVE
60,NEGATIVE
61,NEGATIVE
62,NEGATIVE
63,NEGATIVE
64,NEGATIVE
65,NEGATIVE
66,NEGATIVE
67,NEGATIVE
68,NEGATIVE
69,NEGATIVE
70,NEGATIVE
71,NEGATIVE
72,NEGATIVE
73,NEGATIVE
74,NEGATIVE
75,NEGATIVE
76,NEGATIVE
77,NEGATIVE
78,NEGATIVE
79,NEGATIVE
80,NEGATIVE
81,NEGATIVE
82,NEGATIVE
83,NEGATIVE
84,NEGATIVE
85,NEGATIVE
86,NEGATIVE
87,NEGATIVE
88,NEGATIVE
89,NEGATIVE
90,NEGATIVE
91,NEGATIVE
92,NEGATIVE
93,NEGATIVE
94,NEGATIVE
95,NEGATIVE
96,NEGATIVE
97,NEGATIVE
98,NEGATIVE
99,NEGATIVE
100,NEGATIVE
101,NEGATIVE
102,NEGATIVE
