movieid,6< & <=12,<=2,12< & <=18,2< & <=6,Augusta Daniel,>18,Joseph Brooks,Action,Adventure,Animation,Anime,Biography,Comedy,Crime,Documentary,Drama,Faith & spirituality,Fantasy,Foreign,Gay & lesbian,Health & wellness,History,Holiday,Horror,Kids & family,Lgbtq+,Music,Musical,Mystery & thriller,Nature,News,Other,Romance,Sci-fi,Short,Sports,Sports & fitness,Stand-up,Variety,War,Western,audienceScore,runtimeMinutes,rating,have_rating,ratingContents
adventure_captain_america_harry_potter,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,70.0,111.0,['PG-13'],True,"['Mature Thematic Content', 'Family Dysfunction', 'Smoking', 'Some Language']"
adventure_celestial_ellen_ripley_the,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,67.0,81.0,,False,
adventure_celestial_mystery_hannibal_lecter,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,53.0,98.0,,False,
adventure_celestial_oracle,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.0,115.0,['PG-13'],True,['Sex-Related Humor']
adventure_donnie_darko,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,45.5,109.5,['PG-13'],True,"['Sexual Content', 'Language', 'Some Drug References', 'Thematic Material', 'Violence and Terror']"
adventure_dorothy_gale_indiana_jones_edward_scissorhands,0,2,0,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.0,100.5,['PG'],True,"['Language', 'Frenetic Sequences of Action', 'Violence', 'Language', 'Frenetic Sequences of Action', 'Violence']"
adventure_dracula_indiana_jones_aurora,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.41388941518252,89.0,,False,
adventure_e.t._marty_mcfly,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.0,123.0,['PG'],True,['Brief Mild Language']
adventure_edward_scissorhands_travis_bickle_neo,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,70.0,106.0,['R'],True,['Horror Violence and Terror']
adventure_elegant_ellen_ripley_rocky_balboa,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,56.0,92.0,,False,
adventure_ellen_ripley,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.0,90.0,['R'],True,['Language']
adventure_ellen_ripley_holly_golightly_ellen_ripley,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,32.5,96.5,,False,
adventure_ellen_ripley_wanderer_luke_skywalker,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,74.0,111.0,['R'],True,"['Violence', 'Bloody Images', 'Some Sexuality/Nudity', 'Language']"
adventure_ellen_ripley_whimsical,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.0,100.0,,False,
adventure_ellis_redding_eon_travis_bickle,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.0,98.0,,False,
adventure_enigma,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,82.0,96.0,,False,
adventure_enigma_phenomenal,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,25.0,92.0,['R'],True,"['Some Sexuality', 'Language', 'Strong Horror Violence']"
adventure_enthralling_infinite,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.0,118.0,,False,
adventure_epic,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,77.0,155.0,['R'],True,"['Violence', 'Sexuality']"
adventure_escape_iron_man,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.0,76.0,,False,
adventure_ethereal_hermione_granger,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.0,96.0,['R'],True,"['Some Sexual Content', 'Language', 'Drug Use']"
adventure_fantasy_miracle,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.0,107.0,,False,
adventure_frodo_baggins,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.0,94.0,,False,
adventure_glimmer,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.5,82.5,['R'],True,['Language']
adventure_glorious,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.0,108.0,,False,
adventure_glorious_ferris_bueller,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.0,99.0,['PG-13'],True,"['Thematic Elements', 'Some Disturbing Images', 'Language']"
adventure_hermione_granger_island_vito_corleone,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.0,84.0,,False,
adventure_hermione_granger_sherlock_holmes,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.56077293781098,89.0,,False,
adventure_hiccup_whirlwind,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,55.5,94.0,['PG-13'],True,['Intense Seq of Terror/Violence']
adventure_hidden_cosmic_tyler_durden,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.0,107.0,,False,
adventure_infinite_harmony,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,73.0,108.5,,False,
adventure_intrigue_gandalf,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.56077293781098,84.0,,False,
